ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.705,0.7594047619047619,0.7755102040816326,0.8142857142857143,0.794425087108014,0.2744206124441872
Decision Tree,0.68,0.6285714285714286,0.7794117647058824,0.7571428571428571,0.7681159420289855,0.2526124011407279
kNN,0.705,0.6926190476190476,0.7425149700598802,0.8857142857142857,0.8078175895765473,0.20870530858929998
Naive Bayes,0.68,0.7108928571428572,0.8333333333333334,0.6785714285714286,0.7480314960629921,0.33499034437306097
Random Forest (Ensemble),0.75,0.7953571428571429,0.78125,0.8928571428571429,0.8333333333333334,0.3546040716334876
